sff_block_viterbi_original_cor_postprocessed 93.8689 93.8865 95.0226 96.9048 96.2963 96.6146 97.027 97.2222 97.1264 97.093 97.0238 97.2644 96.875 96.4286 95 94.8805 96.0432 96.5779 96.0317 95.9016
sff_block_viterbi_original 94.0803 94.1048 95.4751 96.9048 96.0494 96.875 97.2973 97.2222 97.1264 97.093 97.0238 97.2644 96.875 96.4286 95 94.8805 96.0432 96.5779 96.0317 95.9016
sff_block_viterbi_trfhmm2_cor 89.6406 91.4847 93.8914 95 95.8025 96.3542 97.027 96.1111 96.2644 96.8023 97.0238 96.3526 96.5625 96.1039 94.3333 94.5392 95.6835 96.5779 96.4286 95.9016
sff_block_viterbi_trfhmm2_cor_postprocessed 91.5433 92.7948 95.0226 95.9524 96.2963 96.0938 96.7568 96.1111 96.2644 96.8023 97.0238 96.3526 96.25 95.7792 94.6667 94.8805 95.6835 96.5779 96.4286 95.9016
sff_block_viterbi_trfhmm_cor 89.852 91.7031 94.1176 95.2381 96.0494 96.6146 97.2973 96.1111 96.2644 96.8023 97.0238 96.3526 96.5625 96.1039 94.3333 94.5392 95.6835 96.5779 96.4286 95.9016
sff_block_viterbi_trfhmm_cor_postprocessed 91.5433 92.7948 95.0226 96.1905 96.5432 96.3542 97.027 96.1111 96.2644 96.8023 97.0238 96.3526 96.25 95.7792 94.6667 94.8805 95.6835 96.5779 96.4286 95.9016
sff_mic_high2_orig_cor 84.3552 88.4279 90.0452 91.9048 92.8395 93.2292 94.0541 94.1667 95.4023 95.0581 95.5357 94.8328 95.9375 95.1299 95 95.2218 95.3237 95.8175 96.4286 94.6721
sff_mic_marginalized_high2_orig_cor 84.5666 86.4629 89.3665 91.9048 92.5926 93.2292 94.8649 95 96.2644 95.6395 95.8333 95.7447 96.25 95.7792 95.3333 94.8805 95.6835 95.8175 96.0317 94.2623
sff_mic_marginalized_high2_orig_cor_postprocessed 84.5666 86.4629 89.3665 91.9048 92.5926 93.2292 94.8649 95 96.2644 95.6395 95.8333 95.7447 96.25 95.7792 95.3333 94.8805 95.6835 95.8175 96.0317 94.2623
sff_mic_marginalized_orig_cor 61.6883 67.4833 71.4286 73.8499 74.1855 76.9841 78.5714 78.2486 77.7778 77.5148 78.1818 78.0864 79.1139 78.9474 77.5168 77.6632 77.8986 78.1609 78 78.0992
sff_mic_marginalized_orig_cor_postprocessed 62.1212 67.706 71.4286 73.8499 74.1855 76.9841 78.5714 78.2486 77.7778 77.5148 78.1818 78.0864 79.1139 78.9474 77.5168 77.6632 77.8986 78.1609 78 78.0992
simpleModel2 88.5835 91.2664 93.2127 93.8095 94.5679 94.2708 95.1351 95.5556 96.8391 96.5116 97.0238 96.6565 97.1875 96.7532 96 96.2457 96.4029 96.9582 97.619 95.9016
simpleModel 88.1607 90.393 91.8552 92.619 93.3333 93.75 94.8649 95.2778 96.5517 96.2209 96.7262 96.3526 97.1875 96.4286 96 96.2457 96.4029 96.9582 97.619 95.4918
simpleModelReplace_cor 88.5835 89.5197 92.0814 92.8571 92.8395 92.9688 94.5946 94.1667 95.1149 95.3488 95.8333 95.4407 95.625 95.4545 95.6667 94.198 94.964 95.8175 96.4286 94.2623
simpleModelReplace 67.019 69.6507 71.0407 75.2381 77.7778 79.1667 80.8108 82.2222 84.1954 84.3023 85.4167 86.6261 87.5 86.6883 87.3333 88.0546 88.8489 90.8745 90.4762 89.7541
simpleModelReplaceHMM_cor 86.8922 88.6463 90.9502 92.619 93.0864 93.2292 94.8649 95 95.1149 94.7674 94.9405 94.8328 95.3125 95.1299 95.3333 94.198 94.964 96.5779 96.8254 95.082
simpleModelReplaceHMM 69.9789 72.0524 74.6606 77.1429 79.7531 81.5104 82.1622 83.0556 85.3448 85.4651 86.9048 87.8419 89.0625 88.961 89 89.7611 90.2878 90.4943 90.873 89.7541
simpleModelReplaceHMMViterbi_cor 86.0465 88.2096 90.4977 91.6667 92.3457 92.9688 94.0541 93.8889 95.1149 95.0581 94.9405 95.1368 95 95.1299 94.3333 93.5154 94.2446 95.8175 96.0317 94.2623
simpleModelReplaceHMMViterbi 55.814 59.3886 63.1222 65.4762 69.1358 72.1354 72.973 75 76.4368 76.7442 77.0833 77.5076 78.75 78.2468 79.3333 79.1809 78.777 81.3688 81.746 81.1475
simpleModelReplaceNonOv_cor 88.5835 90.1747 92.7602 93.3333 93.8272 93.4896 94.8649 94.7222 95.6897 95.3488 95.5357 95.1368 95.3125 95.1299 94.3333 94.8805 95.6835 96.1977 96.4286 93.8525
simpleModelReplaceNonOv 74.4186 76.8559 78.2805 80.4762 81.7284 83.0729 84.3243 85.5556 87.069 86.6279 87.2024 88.4498 88.75 87.6623 88.3333 89.0785 89.9281 92.0152 91.6667 90.1639
simpleModelReplaceNonOvViterbi_cor 87.5264 89.738 92.0814 93.0952 93.5802 94.0104 95.4054 95 96.2644 96.5116 96.131 95.4407 95 95.4545 94.3333 93.8567 94.6043 96.1977 96.4286 94.2623
simpleModelReplaceNonOvViterbi 63.4249 66.1572 69.0045 72.1429 73.5802 76.5625 77.8378 80 81.6092 82.2674 83.3333 83.8906 83.75 84.0909 84.3333 84.3003 85.2518 88.5932 88.0952 85.6557
simpleModelReplaceOrig_cor 89.4292 91.048 92.7602 94.2857 94.0741 94.2708 95.1351 95.2778 95.4023 95.0581 95.5357 95.4407 96.25 95.4545 95 94.8805 95.3237 95.8175 96.4286 95.082
simpleModelReplaceOrig 78.0127 81.0044 82.8054 86.6667 87.6543 90.625 92.1622 93.0556 94.2529 93.6047 94.3452 94.2249 95 94.1558 94 94.5392 94.964 95.4373 95.6349 94.2623
simpleModelReplaceOrigViterbi_cor 87.7378 89.3013 90.9502 92.619 93.5802 94.0104 95.1351 95 95.6897 95.9302 95.8333 96.0486 95.625 95.4545 94.3333 93.5154 94.2446 95.057 95.2381 95.082
simpleModelReplaceOrigViterbi 66.5962 73.5808 77.6018 81.6667 84.4444 87.7604 90 91.3889 92.8161 93.314 92.8571 93.0091 93.75 93.1818 92.6667 92.8328 93.5252 93.9163 94.0476 94.2623
simpleModelReplaceViterbi_cor 88.5835 89.9563 92.5339 92.8571 92.5926 93.2292 94.5946 94.1667 95.4023 95.6395 95.2381 94.5289 94.375 94.8052 94.3333 92.8328 93.1655 94.6768 95.2381 93.0328
simpleModelReplaceViterbi 53.9112 57.2052 60.6335 64.2857 67.1605 69.7917 71.8919 74.1667 76.4368 77.0349 77.9762 78.7234 79.375 79.8701 80.6667 80.8874 80.5755 84.4106 84.127 83.6066
simpleModelViterbi_cor 85.2008 88.4279 91.1765 93.0952 93.3333 94.0104 94.8649 95.2778 96.2644 96.8023 96.7262 96.6565 96.5625 96.4286 95.3333 95.2218 96.0432 96.5779 96.4286 96.3115
simpleModelViterbi 85.2008 88.4279 91.1765 93.0952 93.3333 94.0104 94.8649 95.2778 96.2644 96.8023 96.7262 96.6565 96.5625 96.4286 95.3333 95.2218 96.0432 96.5779 96.4286 96.3115
